authorId,name,aliases,citationCount,papers,fieldsOfStudy
3018257,S. Hilgenfeldt,"['S Hilgenfeldt', 'S. Hilgenfeldt', 'Sascha Hilgenfeldt']",6156,,Physics
102871501,C. Orsi,"['C. Orsi', 'Carmine Antonio Pio Orsi']",0,,Medicine
152127997,C. Cheng,"['Chi Cheng', 'Chi V Cheng', 'Chi Vicky Cheng']",240,,None
3727252,Brittany W. Zelman,"['Brittany W Zelman', 'Brittany Zelman']",242,,None
145772844,R. Buter,"['R. Buter', 'Reindert K. Buter', 'Reindert Klaas Buter', 'R. K. Buter']",578,,Sociology
117086204,R. Gosling,"['R Gosling', 'R D Gosling', 'Roly D. Gosling', 'Roly D Gosling', 'Roly Gosling', 'R. D. Gosling', 'R. Gosling']",7118,,Sociology
6117221,Alexander Zizka,,2107,,Political Science
15590588,K. Belesova,"['K Belesova', 'Kristine Belesova']",2071,,Sociology
39221195,A. Elshorbagy,"['A. A. Elshorbagy', 'A. Elshorbagy', 'Amin A. Elshorbagy', 'Amin Elshorbagy']",3184,,Physics
2695891,H. Oppewal,"['H Harmen Oppewal', 'H Oppewal', 'H. Oppewal', 'Harmen Oppewal']",4774,,Sociology
2167415719,D. Lawlor,"['D Lawlor', 'Deborah L Lawlor', 'Deborah Lawlor']",4,,None
2139705192,Christian Glaser,,108,,Computer Science
35471497,Ying-qing Feng,"['Ying Qing Feng', 'Ying-qing Feng', 'Yingqing Feng']",1187,,None
3711379,S. Vujosevic,"['S Vujosevic', 'S. Vujosevic', 'Stela Vujosevic']",3932,,Physics
145464359,A. John,"['A Arredondo John', 'A John', 'Ajita John']",1088,,Psychology
1729586298,Robert Mahari,['Robert Zev Mahari'],1,,None
152503274,G. Rezza,"['G Rezza', 'G. Rezza', 'Giovanni Rezza']",24449,,Sociology
49691561,P. Zapf,"['P. Zapf', 'Pascal Zapf']",825,,Physics
2057891826,N. Gibbs,"['N. L. Gibbs', 'Nancy Gibbs', 'Nancy L Historian Gibbs', 'Nancy L. Gibbs']",90,,Medicine
147785214,Paul DeRienzo,['Paula Jean Derienzo'],0,,Psychology
144420785,S. Sachdev,"['S Sachdev', 'S. Sachdev', 'Subir Sachdev']",28465,,Political Science
38905217,A. Trimarchi,"['A Trimarchi', 'Alessandra Trimarchi']",74,,Sociology
